"","Trait","UT_coverage","TNFa_coverage"
"1","A1C_Mean_INT",78.5021028793271,81.2809315866084
"2","Albumin_Mean_INT",78.5021028793271,81.2809315866084
"3","ALT_Mean_INT",78.5021028793271,81.2809315866084
"4","AST_Mean_INT",78.5021028793271,81.2809315866084
"5","Bicarbonate_Mean_INT",78.5021028793271,81.2809315866084
"6","Chloride_BSP_Mean_INT",78.5021028793271,81.2809315866084
"7","CircChol",78.5021028793271,81.2809315866084
"8","DoDM",78.5021028793271,81.2809315866084
"9","DoThy",78.5021028793271,81.2809315866084
"10","eGFR_Mean_INT",78.5021028793271,81.2809315866084
"11","GIIBS",78.5021028793271,81.2809315866084
"12","GIOth",78.5021028793271,81.2809315866084
"13","GIPolyp",78.5021028793271,81.2809315866084
"14","GIReflux",78.5021028793271,81.2809315866084
"15","GIUlcer",78.5021028793271,81.2809315866084
"16","Glucose_FS_Mean_INT",78.5021028793271,81.2809315866084
"17","Glucose_Mean_INT",78.5021028793271,81.2809315866084
"18","HDLC_Mean_INT",78.5021028793271,81.2809315866084
"19","LDLC_Mean_INT",78.5021028793271,81.2809315866084
"20","Mg_BSP_Mean_INT",78.5021028793271,81.2809315866084
"21","Phe_153",78.5021028793271,81.2809315866084
"22","Phe_208",78.5021028793271,81.2809315866084
"23","Phe_241",78.5021028793271,81.2809315866084
"24","Phe_241_1",78.5021028793271,81.2809315866084
"25","Phe_244",78.5021028793271,81.2809315866084
"26","Phe_244_4",78.5021028793271,81.2809315866084
"27","Phe_250",78.5021028793271,81.2809315866084
"28","Phe_250_1",78.5021028793271,81.2809315866084
"29","Phe_250_2",78.5021028793271,81.2809315866084
"30","Phe_250_22",78.5021028793271,81.2809315866084
"31","Phe_250_23",78.5021028793271,81.2809315866084
"32","Phe_250_24",78.5021028793271,81.2809315866084
"33","Phe_250_4",78.5021028793271,81.2809315866084
"34","Phe_250_41",78.5021028793271,81.2809315866084
"35","Phe_250_42",78.5021028793271,81.2809315866084
"36","Phe_260",78.5021028793271,81.2809315866084
"37","Phe_261",78.5021028793271,81.2809315866084
"38","Phe_261_2",78.5021028793271,81.2809315866084
"39","Phe_261_4",78.5021028793271,81.2809315866084
"40","Phe_269",78.5021028793271,81.2809315866084
"41","Phe_271",78.5021028793271,81.2809315866084
"42","Phe_271_3",78.5021028793271,81.2809315866084
"43","Phe_272",78.5021028793271,81.2809315866084
"44","Phe_272_1",78.5021028793271,81.2809315866084
"45","Phe_272_11",78.5021028793271,81.2809315866084
"46","Phe_272_12",78.5021028793271,81.2809315866084
"47","Phe_272_13",78.5021028793271,81.2809315866084
"48","Phe_275",78.5021028793271,81.2809315866084
"49","Phe_276",78.5021028793271,81.2809315866084
"50","Phe_276_1",78.5021028793271,81.2809315866084
"51","Phe_276_12",78.5021028793271,81.2809315866084
"52","Phe_276_13",78.5021028793271,81.2809315866084
"53","Phe_276_14",78.5021028793271,81.2809315866084
"54","Phe_276_4",78.5021028793271,81.2809315866084
"55","Phe_276_5",78.5021028793271,81.2809315866084
"56","Phe_278",78.5021028793271,81.2809315866084
"57","Phe_278_1",78.5021028793271,81.2809315866084
"58","Phe_278_11",78.5021028793271,81.2809315866084
"59","Phe_530",78.5021028793271,81.2809315866084
"60","Phe_530_1",78.5021028793271,81.2809315866084
"61","Phe_530_11",78.5021028793271,81.2809315866084
"62","Phe_530_13",78.5021028793271,81.2809315866084
"63","Phe_530_14",78.5021028793271,81.2809315866084
"64","Phe_531",78.5021028793271,81.2809315866084
"65","Phe_535",78.5021028793271,81.2809315866084
"66","Phe_536",78.5021028793271,81.2809315866084
"67","Phe_550",78.5021028793271,81.2809315866084
"68","Phe_550_1",78.5021028793271,81.2809315866084
"69","Phe_550_2",78.5021028793271,81.2809315866084
"70","Phe_550_4",78.5021028793271,81.2809315866084
"71","Phe_558",78.5021028793271,81.2809315866084
"72","Phe_560",78.5021028793271,81.2809315866084
"73","Phe_561",78.5021028793271,81.2809315866084
"74","Phe_561_1",78.5021028793271,81.2809315866084
"75","Phe_562",78.5021028793271,81.2809315866084
"76","Phe_562_1",78.5021028793271,81.2809315866084
"77","Phe_562_2",78.5021028793271,81.2809315866084
"78","Phe_563",78.5021028793271,81.2809315866084
"79","Phe_564",78.5021028793271,81.2809315866084
"80","Phe_564_1",78.5021028793271,81.2809315866084
"81","Phe_565",78.5021028793271,81.2809315866084
"82","Phe_571",78.5021028793271,81.2809315866084
"83","Phe_571_5",78.5021028793271,81.2809315866084
"84","Phe_571_51",78.5021028793271,81.2809315866084
"85","Phe_573_7",78.5021028793271,81.2809315866084
"86","Phe_574",78.5021028793271,81.2809315866084
"87","Phe_574_1",78.5021028793271,81.2809315866084
"88","Phe_577",78.5021028793271,81.2809315866084
"89","Phe_578",78.5021028793271,81.2809315866084
"90","Phe_578_2",78.5021028793271,81.2809315866084
"91","Phe_578_8",78.5021028793271,81.2809315866084
"92","Phe_578_9",78.5021028793271,81.2809315866084
"93","Phe_785",78.5021028793271,81.2809315866084
"94","Phe_789",78.5021028793271,81.2809315866084
"95","Sodium_BSP_Mean_INT",78.5021028793271,81.2809315866084
"96","TotChol_Mean_INT",78.5021028793271,81.2809315866084
"97","Trig_Mean_INT",78.5021028793271,81.2809315866084
